Tipo de instancia,Familia de instancias,Tamaño de instancia,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Memoria (GiB),Almacenamiento (GB),Tipo de almacenamiento,Rendimiento de la red,Tipo de GPU,VRAM por GPU,GPU,Precios de Linux bajo demanda
g5g.xlarge,g5g,xlarge,4,arm64,4,"1,2,3,4",1,8,0,-,Up to 10 Gigabit,T4G,16,1,0.42 USD por hora
g4dn.xlarge,g4dn,xlarge,4,x86_64,2,2,2,16,125,ssd,Up to 25 Gigabit,T4,16,1,0.526 USD por hora
g5g.2xlarge,g5g,2xlarge,8,arm64,8,"1,2,3,4,5,6,7,8",1,16,0,-,Up to 10 Gigabit,T4G,16,1,0.556 USD por hora
g4dn.2xlarge,g4dn,2xlarge,8,x86_64,4,"2,4",2,32,225,ssd,Up to 25 Gigabit,T4,16,1,0.752 USD por hora
g6.xlarge,g6,xlarge,4,x86_64,2,"1,2",2,16,250,ssd,Up to 10 Gigabit,L4,24,1,0.8048 USD por hora
g5g.4xlarge,g5g,4xlarge,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,32,0,-,Up to 10 Gigabit,T4G,16,1,0.828 USD por hora
g6.2xlarge,g6,2xlarge,8,x86_64,4,"1,2,3,4",2,32,450,ssd,Up to 10 Gigabit,L4,24,1,0.9776 USD por hora
g5.xlarge,g5,xlarge,4,x86_64,2,-,2,16,250,ssd,Up to 10 Gigabit,A10G,24,1,1.006 USD por hora
g4dn.4xlarge,g4dn,4xlarge,16,x86_64,8,"2,4,6,8",2,64,225,ssd,Up to 25 Gigabit,T4,16,1,1.204 USD por hora
g5.2xlarge,g5,2xlarge,8,x86_64,4,-,2,32,450,ssd,Up to 10 Gigabit,A10G,24,1,1.212 USD por hora
g6.4xlarge,g6,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,64,600,ssd,Up to 25 Gigabit,L4,24,1,1.3232 USD por hora
g5g.8xlarge,g5g,8xlarge,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,64,0,-,12 Gigabit,T4G,16,1,1.372 USD por hora
gr6.4xlarge,gr6,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,128,600,ssd,Up to 25 Gigabit,L4,24,1,1.5392 USD por hora
g5.4xlarge,g5,4xlarge,16,x86_64,8,-,2,64,600,ssd,Up to 25 Gigabit,A10G,24,1,1.624 USD por hora
g6e.xlarge,g6e,xlarge,4,x86_64,2,"1,2",2,32,250,ssd,Up to 20 Gigabit,L40S,48,1,1.861 USD por hora
g6.8xlarge,g6,8xlarge,32,x86_64,16,"1,2,4,6,8,10,12,14,16",2,128,900,ssd,25 Gigabit,L4,24,1,2.0144 USD por hora
g4dn.8xlarge,g4dn,8xlarge,32,x86_64,16,"2,4,6,8,10,12,14,16",2,128,900,ssd,50 Gigabit,T4,16,1,2.176 USD por hora
g6e.2xlarge,g6e,2xlarge,8,x86_64,4,"1,2,3,4",2,64,450,ssd,Up to 20 Gigabit,L40S,48,1,2.24208 USD por hora
gr6.8xlarge,gr6,8xlarge,32,x86_64,16,"1,2,4,6,8,10,12,14,16",2,256,900,ssd,25 Gigabit,L4,24,1,2.4464 USD por hora
g5.8xlarge,g5,8xlarge,32,x86_64,16,-,2,128,900,ssd,25 Gigabit,A10G,24,1,2.448 USD por hora
g7.2xlarge,g7,2xlarge,8,x86_64,8,"1,2,3,4,5,6,7,8",1,32,440,ssd,60 Gigabit,RTX PRO 4500,32,1,2.52 USD por hora
g5g.16xlarge,g5g,16xlarge,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,128,0,-,25 Gigabit,T4G,16,2,2.744 USD por hora
g5g.metal,g5g,metal,64,arm64,64,-,1,128,0,-,25 Gigabit,T4G,16,2,2.744 USD por hora
g6e.4xlarge,g6e,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,128,600,ssd,20 Gigabit,L40S,48,1,3.00424 USD por hora
g7.4xlarge,g7,4xlarge,16,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,64,875,ssd,60 Gigabit,RTX PRO 4500,32,1,3.04208 USD por hora
g7e.2xlarge,g7e,2xlarge,8,x86_64,4,"1,2,3,4",2,64,1900,ssd,50 Gigabit,RTX PRO 6000,96,1,3.36312 USD por hora
